area bin1 bin2 bin3 bin4 bin5 bin6 bin7 bin8 bin9 bin10
Ia\_\_ 12.007205 12.120795 11.912175 12.47744 13.264615 13.505075 13.79005 13.325465 13.005345 11.98818
Id2\_ 11.699035 11.786725 11.8295 12.399735 13.179465 13.409605 13.24112 12.96149 12.41332 11.164185
Id1\_ 12.001255 12.480455 11.950695 11.823885 12.486115 13.041315 13.73051 13.252475 12.96878 11.199185
Id3\_ 11.79838 12.036655 11.847865 12.181615 12.96013 13.886325 14.074575 13.61401 12.84692 11.43954
Id4\_ 12.301055 12.21836 12.28011 12.78148 13.610105 13.60651 13.086055 12.909195 12.11872 10.3768
Id5\_ 11.7391181818182 12.1557636363636 11.9482409090909 12.3005909090909 12.9872 13.4624772727273 13.4741590909091 13.1381818181818 12.9309636363636 11.73175
Id6\_ 12.38441 12.7173 12.4119 12.54951 13.1107 13.84035 12.99339 12.683225 12.159575 10.590725
Id7\_ 12.25632 12.196045 12.22584 12.602825 13.01557 13.162555 12.480755 12.535405 12.249595 10.58071
Ig1\_ 11.62173 12.576045 12.22564 12.259695 12.79686 13.10298 13.53874 12.93419 12.764135 10.774795
Ig2\_ 11.851055 12.222895 11.97509 12.344765 12.91675 13.361805 13.444225 12.972815 12.581855 10.834675
Ig3\_ 11.88464 12.23194 12.42912 12.587445 13.27325 13.507865 13.33138 13.135685 12.444375 10.92891
